ProductType,Billing_Start_Date,NRC,MRC,state,country
Project Item,2018-07-23,17359,0,South Carolina,United States
Project Item,2018-07-31,3567,0,Virginia,United States
Project Item,2018-08-06,136324,0,Virginia,United States
Netcare,2018-08-08,0,65,Texas,United States
Project Item,2018-08-09,7200,0,Massachusetts,United States
Netcare,2018-08-10,0,65,California,United States
Project Item,2018-08-13,5684,0,California,United States
Project Item,2018-08-16,4300,0,Virginia,United States
Project Item,2018-08-17,38950,0,Texas,United States
IDC,2018-08-24,0,19365,Illinois,United States
In-house wiring,2018-08-24,380,171,Illinois,United States
In-house wiring,2018-08-24,380,171,Illinois,United States
Project Item,2018-08-31,88406,0,California,United States
Project Item,2018-09-19,800,0,District of Columbia,United States
Project Item,2018-09-20,145228,200,Oregon,United States
Project Item,2018-09-20,138492,0,Illinois,United States
Project Item,2018-09-21,70058,0,California,United States
Project Item,2018-09-30,100000,0,Massachusetts,United States
CPE,2018-11-08,0,135,California,United States
Project Item,2018-12-01,285,0,South Carolina,United States
IDC,2018-12-22,0,1500,California,United States
Project Item,2019-01-01,2734,0,California,United States
Project Item,2019-01-01,22440,0,Florida,United States
Project Item,2019-01-01,21693,0,Massachusetts,United States
Project Item,2019-01-01,23295,0,Kentucky,United States
Project Item,2019-01-03,39576,0,Michigan,United States
Project Item,2019-01-03,37775,0,Michigan,United States
In-house wiring,2019-01-10,400,245,Oregon,United States
Project Item,2019-01-18,6900,0,California,United States
Project Item,2019-01-18,35000,0,New York,United States
Project Item,2019-01-24,450,0,California,United States
Project Item,2019-02-01,211571,0,California,United States
Project Item,2019-02-01,223956,0,California,United States
Project Item,2019-02-08,34525,0,Virginia,United States
Project Item,2019-02-08,38930,0,California,United States
Project Item,2019-02-08,34525,0,Texas,United States
Project Item,2019-02-08,2925,0,Texas,United States
Project Item,2019-02-08,33140,0,California,United States
Project Item,2019-02-08,3283,0,California,United States
Project Item,2019-02-08,2925,0,Virginia,United States
Dark Fiber,2019-02-11,0,2472,California,United States
Dark Fiber,2019-02-11,0,2472,California,United States
Dark Fiber,2019-02-11,0,2472,California,United States
Dark Fiber,2019-02-11,0,2472,California,United States
Project Item,2019-02-15,1300,0,Pennsylvania,United States
Project Item,2019-02-15,11797,0,Texas,United States
Project Item,2019-02-15,36738,0,New York,United States
Project Item,2019-02-15,27666,0,Texas,United States
Project Item,2019-02-15,1410,0,Texas,United States
Project Item,2019-02-15,82460,0,Florida,United States
Project Item,2019-02-15,13480,0,New York,United States
Project Item,2019-02-15,32267,0,Pennsylvania,United States
Project Item,2019-02-27,2743,0,California,United States
Project Item,2019-02-27,10924,0,California,United States
Project Item,2019-03-01,9624,0,California,United States
Project Item,2019-03-01,490080,0,Florida,United States
Project Item,2019-03-01,1500,0,California,United States
Project Item,2019-03-07,13335,0,Texas,United States
Project Item,2019-03-07,32109,0,Texas,United States
Project Item,2019-03-08,3043,0,California,United States
Project Item,2019-03-08,1900,0,California,United States
Project Item,2019-03-08,550,0,California,United States
Project Item,2019-03-08,2726,0,California,United States
Project Item,2019-03-08,76277,0,California,United States
Project Item,2019-03-21,7747,0,Florida,United States
Project Item,2019-03-21,3260,0,Florida,United States
Project Item,2019-03-21,10540,0,Florida,United States
Project Item,2019-03-25,188278,0,Virginia,United States
Dark Fiber,2019-03-25,816,816,Virginia,United States
Project Item,2019-03-25,34400,0,California,United States
Dark Fiber,2019-03-25,816,816,Virginia,United States
Project Item,2019-03-25,25800,0,California,United States
IDC,2019-04-05,0,112611,Virginia,United States
Project Item,2019-04-05,410400,0,Virginia,United States
Project Item,2019-04-05,633850,0,Virginia,United States
Project Item,2019-04-15,600,0,Maryland,United States
Project Item,2019-04-15,2780,0,Michigan,United States
Project Item,2019-04-18,2363,0,Michigan,United States
Project Item,2019-04-25,56000,0,Virginia,United States
Project Item,2019-04-25,22539,0,Virginia,United States
Dark Fiber,2019-04-30,0,1778,California,United States
Dark Fiber,2019-04-30,0,1778,California,United States
Dark Fiber,2019-04-30,0,1778,California,United States
Dark Fiber,2019-04-30,0,1778,California,United States
Project Item,2019-05-01,217166,0,Florida,United States
Project Item,2019-05-01,8471,0,Florida,United States
Project Item,2019-05-01,2310,0,New York,United States
Project Item,2019-05-01,50449,0,Florida,United States
Project Item,2019-05-01,7141,0,South Carolina,United States
Project Item,2019-05-01,260541,0,Florida,United States
Project Item,2019-05-01,209,0,New York,United States
Project Item,2019-05-03,650,0,Texas,United States
Project Item,2019-05-03,20029,0,Texas,United States
Project Item,2019-05-03,1800,0,Michigan,United States
Project Item,2019-05-03,6024,0,Pennsylvania,United States
Project Item,2019-05-03,250,0,Pennsylvania,United States
Project Item,2019-05-03,13375,0,Michigan,United States
Project Item,2019-05-03,114423,0,Michigan,United States
Project Item,2019-05-03,7386,0,Michigan,United States
Project Item,2019-05-07,9745,0,Texas,United States
Project Item,2019-05-07,11108,0,Texas,United States
Project Item,2019-05-14,29580,0,New York,United States
Project Item,2019-05-29,900,0,California,United States
Project Item,2019-05-29,8000,0,California,United States
Project Item,2019-05-30,3852,0,Texas,United States
Project Item,2019-05-30,27390,0,Texas,United States
Project Item,2019-05-30,115610,0,Texas,United States
Project Item,2019-05-31,5653,1375,Virginia,United States
Project Item,2019-06-01,4500,0,New York,United States
Project Item,2019-06-01,3566,0,New York,United States
Project Item,2019-06-04,1040,0,Maryland,United States
Project Item,2019-06-15,1200,0,New York,United States
Project Item,2019-06-20,37290,0,South Carolina,United States
Project Item,2019-07-01,1848,0,Michigan,United States
Project Item,2019-07-03,10973,0,South Carolina,United States
Project Item,2019-07-03,35135,0,South Carolina,United States
Project Item,2019-07-04,70942,0,South Carolina,United States
Project Item,2019-07-04,9268,0,New York,United States
GIS2.0,2019-07-05,0,4350,California,United States
Dark Fiber,2019-07-08,0,972,California,United States
Dark Fiber,2019-07-08,0,972,California,United States
Project Item,2019-07-10,1948,0,Texas,United States
Project Item,2019-07-10,552,0,Texas,United States
In-house wiring,2019-07-11,400,245,Oregon,United States
IP Sec VPN,2019-07-11,0,550,California,United States
Project Item,2019-07-15,96273,0,New York,United States
Project Item,2019-07-15,9307,0,New York,United States
Project Item,2019-07-15,111112,0,New York,United States
Project Item,2019-07-15,36331,0,Texas,United States
Project Item,2019-07-15,94291,0,Texas,United States
Project Item,2019-07-15,27192,0,New York,United States
GIS,2019-07-24,200,1075,Virginia,United States
In-house wiring,2019-07-26,0,250,Virginia,United States
Project Item,2019-08-01,35520,0,Texas,United States
Project Item,2019-08-01,2595,0,New York,United States
Project Item,2019-08-01,5698,0,New York,United States
Project Item,2019-08-07,17219,0,South Carolina,United States
Project Item,2019-08-08,33732,0,Illinois,United States
Project Item,2019-08-08,15773,0,Illinois,United States
Project Item,2019-08-08,1332,0,Illinois,United States
Project Item,2019-08-08,16083,0,Illinois,United States
Project Item,2019-08-08,2295422,0,Illinois,United States
Project Item,2019-08-08,1122467,0,Illinois,United States
Project Item,2019-08-08,14608,0,Illinois,United States
Managed/Maintenance Service,2019-08-09,0,14930,Washington,United States
Project Item,2019-08-15,13975,0,New York,United States
Project Item,2019-08-16,1495,0,Michigan,United States
Project Item,2019-08-16,2170,0,Michigan,United States
Project Item,2019-08-20,7555,0,California,United States
