ProductType,CircuitStatus,Billing_Start_Date,Currency,NRC,MRC,Bandwidth,city,state,country
IEPL,ACTIVE,2019-06-21,USD,0.0,12000.0,600,Shenzhen,Guangdong,China
VPN,ACTIVE,2019-06-22,CNY,951.2857142857143,1864.2857142857142,20,Guangzhou,Guangdong,China
Netcare,ACTIVE,2019-06-24,USD,0.0,85.0,0,Nanchang,Jiangxi,China
Netcare,ACTIVE,2019-06-24,USD,0.0,85.0,0,Wuhan,Hubei,China
Netcare,ACTIVE,2019-06-24,USD,0.0,85.0,0,Suzhou,Jiangsu,China
Netcare,ACTIVE,2019-06-24,USD,0.0,85.0,0,Chongqing,Chongqing,China
Netcare,ACTIVE,2019-06-24,USD,0.0,85.0,0,Qingdao CLS,,China
Netcare,ACTIVE,2019-06-24,CNY,0.0,83.57142857142857,0,Wuhan,Hubei,China
Netcare,ACTIVE,2019-06-25,USD,0.0,85.0,0,Guangzhou,Guangdong,China
VPN,ACTIVE,2019-06-25,USD,3500.0,2475.0,20,Guangzhou,Guangdong,China
SD-WAN,ACTIVE,2019-06-25,USD,0.0,3500.0,0,nan,nan,
Local Internet Access,ACTIVE,2019-06-26,USD,2500.0,1834.0,50,Beijing,Beijing,China
Netcare,ACTIVE,2019-06-27,USD,0.0,45.0,0,Shanghai,Shanghai,China
VPN,ACTIVE,2019-06-27,USD,300.0,2675.0,10,Shanghai,Shanghai,China
GIS,ACTIVE,2019-07-01,USD,832.0,333.0,10,Tokyo,Tokyo,Japan
GIS,ACTIVE,2019-07-01,USD,480.44,172.49,10,Tokyo,Tokyo,Japan
Local Internet Access,ACTIVE,2019-07-01,CNY,214.28571428571428,4571.428571428572,100,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-07-01,CNY,214.28571428571428,1542.857142857143,20,Shanghai,Shanghai,China
VPN,ACTIVE,2019-07-01,USD,0.0,6547.0,50,Shanghai,Shanghai,China
IEPL,ACTIVE,2019-07-01,BRL,0.0,1937.43,0,Barueri,Brazil,Barueri
VPN,ACTIVE,2019-07-03,CNY,3511.5714285714284,4346.0,80,Shanghai,Shanghai,China
GIS2.0,ACTIVE,2019-07-05,USD,0.0,4350.0,0,Los Angeles,California,United States
Dark Fiber,ACTIVE,2019-07-08,USD,0.0,972.0,0,Santa Clara,California,United States
Netcare,ACTIVE,2019-07-08,USD,0.0,77.0,0,Shanghai,Shanghai,China
VPN,ACTIVE,2019-07-08,USD,0.0,3423.0,15,Shanghai,Shanghai,China
Dark Fiber,ACTIVE,2019-07-08,USD,0.0,972.0,0,Santa Clara,California,United States
CPE,ACTIVE,2019-07-08,USD,0.0,198.0,0,Shanghai,Shanghai,China
CPE,ACTIVE,2019-07-10,USD,0.0,139.0,0,Ontario,Ontario,Canada
VPN,ACTIVE,2019-07-10,USD,0.0,1310.0,6,Haikou,Hainan,China
In-house wiring,ACTIVE,2019-07-11,USD,400.0,245.0,0,Hillsboro CLS,Oregon,United States
Netcare,ACTIVE,2019-07-11,USD,0.0,45.0,0,Tianjin,Tianjin,China
IP Sec VPN,ACTIVE,2019-07-11,USD,0.0,485.0,10,Tokyo,Tokyo,Japan
IP Sec VPN,ACTIVE,2019-07-11,USD,0.0,278.0,10,Tokyo,Tokyo,Japan
IP Sec VPN,ACTIVE,2019-07-11,USD,0.0,550.0,10,San Jose,California,United States
VPN,ACTIVE,2019-07-12,USD,0.0,2675.0,10,Tianjin,Tianjin,China
Local Internet Access,ACTIVE,2019-07-16,USD,0.0,550.0,10,Qingdao CLS,,China
IEPL,ACTIVE,2019-07-17,USD,0.0,21790.0,1000,Shanghai,SINGAPORE,China
Local Internet Access,ACTIVE,2019-07-23,USD,0.0,993.0,10,Changsha,Hunan,China
GIS,ACTIVE,2019-07-24,USD,200.0,1075.0,300,Sterling,Virginia,United States
Local Internet Access,ACTIVE,2019-07-24,USD,0.0,14920.0,1000,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-07-24,USD,0.0,11530.0,1000,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-07-26,USD,0.0,608.0,15,Langfang,Hebei,China
In-house wiring,ACTIVE,2019-07-26,USD,0.0,250.0,0,Sterling,Virginia,United States
In-house wiring,ACTIVE,2019-07-31,USD,3650.0,33.33,0,SINGAPORE,Singapore,SINGAPORE
GIS2.0,ACTIVE,2019-08-01,USD,1000.0,12000.0,0,Tokyo,Tokyo,Japan
Netcare,ACTIVE,2019-08-01,USD,0.0,85.0,0,Changsha,Hunan,China
Netcare,ACTIVE,2019-08-01,USD,0.0,85.0,0,Qingdao CLS,,China
Netcare,ACTIVE,2019-08-01,USD,0.0,85.0,0,Shanghai,Shanghai,China
GIS2.0,ACTIVE,2019-08-01,USD,1000.0,12000.0,0,Tokyo,Tokyo,Japan
Netcare,ACTIVE,2019-08-01,USD,0.0,85.0,0,Langfang,Hebei,China
Local Internet Access,ACTIVE,2019-08-03,USD,0.0,850.0,10,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-08-05,USD,0.0,850.0,50,Jiaxing,Zhejiang,China
